     Height km, Electron_density
   60.00, -0.10000E+01
   61.00, -0.10000E+01
   62.00, -0.10000E+01
   63.00, -0.10000E+01
   64.00, -0.10000E+01
   65.00,  0.23604E+08
   66.00,  0.36056E+08
   67.00,  0.52556E+08
   68.00,  0.73319E+08
   69.00,  0.98183E+08
   70.00,  0.12658E+09
   71.00,  0.15758E+09
   72.00,  0.18998E+09
   73.00,  0.22247E+09
   74.00,  0.25380E+09
   75.00,  0.28290E+09
   76.00,  0.30902E+09
   77.00,  0.33177E+09
   78.00,  0.35114E+09
   79.00,  0.36743E+09
   80.00,  0.38126E+09
   81.00,  0.39345E+09
   82.00,  0.40531E+09
   83.00,  0.42781E+09
   84.00,  0.48775E+09
   85.00,  0.63420E+09
   86.00,  0.99290E+09
   87.00,  0.17636E+10
   88.00,  0.29768E+10
   89.00,  0.47710E+10
   90.00,  0.72832E+10
   91.00,  0.10621E+11
   92.00,  0.14839E+11
   93.00,  0.19920E+11
   94.00,  0.25767E+11
   95.00,  0.32207E+11
   96.00,  0.39004E+11
   97.00,  0.45892E+11
   98.00,  0.52596E+11
   99.00,  0.58869E+11
  100.00,  0.64510E+11
  101.00,  0.69380E+11
  102.00,  0.73409E+11
  103.00,  0.76588E+11
  104.00,  0.78966E+11
  105.00,  0.80632E+11
  106.00,  0.81705E+11
  107.00,  0.82317E+11
  108.00,  0.82604E+11
  109.00,  0.82697E+11
  110.00,  0.82708E+11
  111.00,  0.81937E+11
  112.00,  0.79902E+11
  113.00,  0.77566E+11
  114.00,  0.76164E+11
  115.00,  0.76635E+11
  116.00,  0.79043E+11
  117.00,  0.82009E+11
  118.00,  0.83000E+11
  119.00,  0.83536E+11
  120.00,  0.84078E+11
  121.00,  0.84627E+11
  122.00,  0.85183E+11
  123.00,  0.85748E+11
  124.00,  0.86319E+11
  125.00,  0.86899E+11
  126.00,  0.87487E+11
  127.00,  0.88083E+11
  128.00,  0.88688E+11
  129.00,  0.89302E+11
  130.00,  0.89926E+11
  131.00,  0.90558E+11
  132.00,  0.91201E+11
  133.00,  0.91853E+11
  134.00,  0.92516E+11
  135.00,  0.93190E+11
  136.00,  0.93875E+11
  137.00,  0.94572E+11
  138.00,  0.95281E+11
  139.00,  0.96002E+11
  140.00,  0.96736E+11
  141.00,  0.97484E+11
  142.00,  0.98246E+11
  143.00,  0.99022E+11
  144.00,  0.99814E+11
  145.00,  0.10062E+12
  146.00,  0.10145E+12
  147.00,  0.10229E+12
  148.00,  0.10315E+12
  149.00,  0.10403E+12
  150.00,  0.10493E+12
  151.00,  0.10585E+12
  152.00,  0.10679E+12
  153.00,  0.10776E+12
  154.00,  0.10875E+12
  155.00,  0.10977E+12
  156.00,  0.11081E+12
  157.00,  0.11189E+12
  158.00,  0.11300E+12
  159.00,  0.11415E+12
  160.00,  0.11533E+12
  161.00,  0.11656E+12
  162.00,  0.11782E+12
  163.00,  0.11914E+12
  164.00,  0.12052E+12
  165.00,  0.12195E+12
  166.00,  0.12345E+12
  167.00,  0.12502E+12
  168.00,  0.12668E+12
  169.00,  0.12844E+12
  170.00,  0.13031E+12
  171.00,  0.13232E+12
  172.00,  0.13450E+12
  173.00,  0.13689E+12
  174.00,  0.13956E+12
  175.00,  0.14261E+12
  176.00,  0.14620E+12
  177.00,  0.14995E+12
  178.00,  0.15375E+12
  179.00,  0.15760E+12
  180.00,  0.16150E+12
  181.00,  0.16544E+12
  182.00,  0.16943E+12
  183.00,  0.17347E+12
  184.00,  0.17755E+12
  185.00,  0.18167E+12
  186.00,  0.18583E+12
  187.00,  0.19003E+12
  188.00,  0.19427E+12
  189.00,  0.19854E+12
  190.00,  0.20285E+12
  191.00,  0.20719E+12
  192.00,  0.21156E+12
  193.00,  0.21596E+12
  194.00,  0.22038E+12
  195.00,  0.22483E+12
  196.00,  0.22930E+12
  197.00,  0.23380E+12
  198.00,  0.23831E+12
  199.00,  0.24283E+12
  200.00,  0.24737E+12
  201.00,  0.25193E+12
  202.00,  0.25649E+12
  203.00,  0.26105E+12
  204.00,  0.26563E+12
  205.00,  0.27020E+12
  206.00,  0.27477E+12
  207.00,  0.27934E+12
  208.00,  0.28391E+12
  209.00,  0.28846E+12
  210.00,  0.29301E+12
  211.00,  0.29754E+12
  212.00,  0.30205E+12
  213.00,  0.30655E+12
  214.00,  0.31103E+12
  215.00,  0.31548E+12
  216.00,  0.31990E+12
  217.00,  0.32429E+12
  218.00,  0.32865E+12
  219.00,  0.33298E+12
  220.00,  0.33727E+12
  221.00,  0.34151E+12
  222.00,  0.34572E+12
  223.00,  0.34988E+12
  224.00,  0.35399E+12
  225.00,  0.35805E+12
  226.00,  0.36205E+12
  227.00,  0.36600E+12
  228.00,  0.36989E+12
  229.00,  0.37373E+12
  230.00,  0.37749E+12
  231.00,  0.38120E+12
  232.00,  0.38483E+12
  233.00,  0.38839E+12
  234.00,  0.39189E+12
  235.00,  0.39530E+12
  236.00,  0.39865E+12
  237.00,  0.40191E+12
  238.00,  0.40509E+12
  239.00,  0.40819E+12
  240.00,  0.41121E+12
  241.00,  0.41414E+12
  242.00,  0.41699E+12
  243.00,  0.41975E+12
  244.00,  0.42241E+12
  245.00,  0.42499E+12
  246.00,  0.42747E+12
  247.00,  0.42987E+12
  248.00,  0.43216E+12
  249.00,  0.43436E+12
  250.00,  0.43647E+12
  251.00,  0.43848E+12
  252.00,  0.44039E+12
  253.00,  0.44221E+12
  254.00,  0.44392E+12
  255.00,  0.44554E+12
  256.00,  0.44706E+12
  257.00,  0.44849E+12
  258.00,  0.44981E+12
  259.00,  0.45104E+12
  260.00,  0.45217E+12
  261.00,  0.45321E+12
  262.00,  0.45415E+12
  263.00,  0.45500E+12
  264.00,  0.45575E+12
  265.00,  0.45641E+12
  266.00,  0.45698E+12
  267.00,  0.45747E+12
  268.00,  0.45786E+12
  269.00,  0.45818E+12
  270.00,  0.45841E+12
  271.00,  0.45857E+12
  272.00,  0.45865E+12
  273.00,  0.45867E+12
  274.00,  0.45863E+12
  275.00,  0.45851E+12
  276.00,  0.45833E+12
  277.00,  0.45808E+12
  278.00,  0.45777E+12
  279.00,  0.45739E+12
  280.00,  0.45694E+12
  281.00,  0.45644E+12
  282.00,  0.45587E+12
  283.00,  0.45524E+12
  284.00,  0.45455E+12
  285.00,  0.45380E+12
  286.00,  0.45299E+12
  287.00,  0.45213E+12
  288.00,  0.45121E+12
  289.00,  0.45024E+12
  290.00,  0.44922E+12
  291.00,  0.44815E+12
  292.00,  0.44702E+12
  293.00,  0.44585E+12
  294.00,  0.44463E+12
  295.00,  0.44336E+12
  296.00,  0.44205E+12
  297.00,  0.44069E+12
  298.00,  0.43929E+12
  299.00,  0.43785E+12
  300.00,  0.43637E+12