f10_7,f10_7a,ap
   67.0 ,  68.4  ,  4.9 
   69.5 ,  68.4  ,  0.5 
   72.7 ,  68.4  ,  1.3 
   70.2 ,  68.4  ,  8.6 
   69.1 ,  68.4  , 16.3 
   68.8 ,  68.4  ,  9.3 
   69.6 ,  68.4  ,  5.6 
   69.1 ,  68.4  ,  5.5 
   69.0 ,  68.4  ,  3.9 
   69.2 ,  68.5  ,  3.1 
   67.8 ,  68.5  ,  6.0 
   65.9 ,  68.5  ,  2.0 
   67.3 ,  68.5  ,  2.4 
   66.6 ,  68.6  ,  6.5 
   67.8 ,  68.6  ,  4.9 
   67.3 ,  68.6  ,  5.1 
   67.5 ,  68.6  ,  6.4 
   66.4 ,  68.7  ,  4.9 
   66.6 ,  68.7  ,  3.9 
   67.4 ,  68.7  ,  3.4 
   67.0 ,  68.8  ,  3.0 
   67.7 ,  68.8  ,  2.6 
   68.5 ,  68.8  , 12.5 
   69.3 ,  68.8  , 17.3 
   70.2 ,  68.8  , 12.1 
   72.7 ,  68.8  ,  6.8 
   74.3 ,  68.8  ,  4.0 
   72.8 ,  68.9  ,  1.1 
   73.5 ,  68.9  ,  1.6 
   70.9 ,  68.9  ,  1.0 
   71.4 ,  68.9   , 14.4 